wheel,timestamp,state
left,1588322448.07,0.53136666595
right,1588322448.08,0.538288558431
left,1588322448.08,0.515702502118
right,1588322448.09,0.523312296505
left,1588322448.09,0.500223694475
right,1588322448.1,0.508493864181
 left,1588322448.1,0.484928063853
left,1588322448.11,0.46981322586
right,1588322448.11,0.493831608809
left,1588322448.12,0.454877124579
right,1588322448.12,0.479323940697
left,1588322448.13,0.44011749885
right,1588322448.13,0.464969132224
left,1588322448.14,0.425532896961
right,1588322448.14,0.450765732769
right,1588322448.15,0.436712133602
left,1588322448.15,0.411121152983
left,1588322448.16,0.396880121933
right,1588322448.16,0.422806712325
left,1588322448.17,0.382807832526
right,1588322448.17,0.409047893046
left,1588322448.18,0.368902272727
right,1588322448.18,0.395434085604
left,1588322448.19,0.355161394206
right,1588322448.19,0.381963696245
left,1588322448.2,0.341583010124
right,1588322448.2,0.368635267898
left,1588322448.21,0.328165197883
right,1588322448.21,0.355447377961
left,1588322448.22,0.314906068552
right,1588322448.22,0.342398510467
left,1588322448.23,0.301803772325
right,1588322448.23,0.32948711254
left,1588322448.24,0.288856475001
right,1588322448.24,0.316711649473
left,1588322448.25,0.276062376073
right,1588322448.25,0.304070585424
right,1588322448.26,0.291562392229
left,1588322448.26,0.263419698341
right,1588322448.27,0.27918555351
left,1588322448.27,0.250926680935
right,1588322448.28,0.266938567902
left,1588322448.28,0.238581580909
right,1588322448.29,0.254819954219
left,1588322448.29,0.226382673079
right,1588322448.3,0.242828254757
left,1588322448.3,0.21432824077
right,1588322448.31,0.230962019728
left,1588322448.31,0.202416579241
right,1588322448.32,0.219219807862
left,1588322448.32,0.190646009253
right,1588322448.33,0.20760021602
left,1588322448.33,0.179014876905
right,1588322448.34,0.1961018509
left,1588322448.34,0.1675215344
right,1588322448.35,0.184723337452
left,1588322448.35,0.156164344906
right,1588322448.36,0.173463313627
left,1588322448.36,0.144941672638
right,1588322448.37,0.162320429973
left,1588322448.37,0.133851906591
right,1588322448.38,0.151293344261
left,1588322448.38,0.122893434615
